person_id,occasion,emotion,ai_trust,scenario,purchase,aigc_clicks,exposure_minutes
I025,2,0.283,-0.026,S3,1,5,17
I025,3,-0.651,-0.122,S4,1,6,30
I025,4,-0.334,-0.088,S5,1,7,48
I025,5,0.508,0.521,S1,0,4,25
I025,6,-0.939,-0.088,S2,1,3,29
I025,7,-0.816,0.16,S3,0,5,52
I025,8,-0.62,0.554,S4,1,7,25
I025,9,-0.229,0.14,S5,0,5,26
I025,10,-0.74,0.29,S1,0,8,22
I025,11,-0.629,0.314,S2,1,5,59
I025,12,-0.866,0.119,S3,0,4,17
I025,13,0.384,0.304,S4,0,7,52
I025,14,0.093,-0.734,S5,0,6,38
I025,15,-0.008,-0.457,S1,1,6,27
I025,16,-0.489,0.038,S2,1,4,51
I025,17,0.45,0.071,S3,0,5,58
I025,18,-0.257,0.391,S4,0,7,15
I025,19,-0.493,-0.363,S5,1,7,54
I025,20,0.305,0.045,S1,1,6,35
I025,21,-0.432,0.441,S2,0,6,49
I025,22,-0.373,1.286,S3,0,7,39
I025,23,-0.192,0.941,S4,0,3,48
I025,24,0.524,0.743,S5,0,7,58
I025,25,0.1,-0.797,S1,0,5,17
I026,1,-0.104,0.124,S3,1,4,46
I026,2,0.955,-0.118,S4,1,5,19
I026,3,2.234,-0.351,S5,1,5,42
I026,4,1.534,-0.346,S1,0,5,53
I026,5,0.444,-0.053,S2,1,3,25
I026,6,0.486,0.439,S3,0,6,45
I026,7,0.018,0.639,S4,0,5,21
I026,8,0.092,0.094,S5,0,3,20
I026,9,-0.829,1.378,S1,1,6,53
I026,10,-0.344,0.333,S2,0,8,51
I026,11,-0.358,-0.371,S3,1,4,23
I026,12,-0.581,-0.1,S4,0,2,46
I026,13,-0.736,0.105,S5,0,5,54
I026,14,-0.371,0.249,S1,0,6,37
I026,15,-1.33,-0.113,S2,0,5,41
I026,16,-0.139,-0.941,S3,0,6,18
I026,17,0.186,-0.547,S4,0,5,20
I026,18,0.251,0.419,S5,0,6,28
I026,19,-0.8,0.401,S1,1,7,32
I026,20,0.005,-0.628,S2,0,6,57
I026,21,-0.472,0.113,S3,0,5,41
I026,22,-0.038,0.021,S4,1,7,48
I026,23,1.096,-0.055,S5,1,5,41
I026,24,-0.207,0.784,S1,1,8,50
I026,25,-0.666,-0.069,S2,0,3,43
I027,1,-1.044,0.501,S4,1,7,40
I027,2,-0.847,0.384,S5,1,7,21
I027,3,-0.936,0.051,S1,0,7,51
I027,4,0.12,-0.74,S2,0,6,51
I027,5,-1.131,-0.328,S3,0,4,21
I027,6,-0.429,-0.549,S4,0,7,50
I027,7,-0.994,0.161,S5,1,5,24
I027,8,-1.172,-0.441,S1,1,3,46
I027,9,-1.077,0.034,S2,1,3,25
I027,10,-1.639,-1.016,S3,0,5,41
I027,11,-1.551,-0.601,S4,1,6,25
I027,12,-1.749,-0.743,S5,0,3,27
I027,13,-0.069,-1.515,S1,0,3,44
I027,14,0.306,-0.625,S2,0,3,55
I027,15,-0.852,-0.471,S3,0,5,26
I027,16,-1.078,0.275,S4,0,4,16
I027,17,-1.362,0.183,S5,0,5,48
I027,18,-0.94,-1.289,S1,0,5,26
I027,19,-0.168,-0.133,S2,1,5,43
I027,20,-0.79,-0.623,S3,0,4,30
I027,21,-0.383,-1.018,S4,1,7,42
I027,22,-0.187,-1.235,S5,1,5,49
I027,23,-0.331,0.087,S1,0,6,24
I027,24,-0.499,-0.352,S2,0,2,41
I027,25,-0.496,0.254,S3,0,5,26
I028,1,-1.244,0.123,S5,0,4,17
I028,2,0.322,-0.226,S1,0,7,48
I028,3,-0.502,0.398,S2,0,4,53
I028,4,-1.895,-0.441,S3,0,4,52
I028,5,-0.594,0.311,S4,1,2,19
I028,6,-0.245,-0.485,S5,0,7,20
I028,7,0.311,-0.858,S1,0,7,57
I028,8,-0.307,-0.818,S2,0,4,45
I028,9,0.045,-0.06,S3,0,4,45
I028,10,-1.202,0.341,S4,1,4,40
I028,11,-0.595,0.215,S5,0,6,18
I028,12,0.625,0.39,S1,0,4,25
I028,13,-0.649,0.508,S2,0,3,54
I028,14,-1.171,0.274,S3,0,5,41
I028,15,-1.075,-0.648,S4,0,6,59
I028,16,0.566,0.408,S5,0,7,24
I028,17,0.225,0.507,S1,0,7,51
I028,18,0.225,0.902,S2,0,5,19
I028,19,0.112,0.909,S3,1,6,34
I028,20,-0.529,0.269,S4,0,5,28
I028,21,0.175,-0.38,S5,1,5,45
I028,22,-0.216,0.783,S1,1,6,30
I028,23,0.164,1.281,S2,0,9,29
I028,24,-0.889,1.109,S3,0,8,48
I028,25,-0.77,-0.106,S4,0,7,15
I029,1,0.507,0.226,S1,0,4,23
I029,2,0.058,-0.155,S2,0,7,21
I029,3,-0.665,-0.384,S3,0,6,25
I029,4,-0.608,-1.183,S4,1,3,30
I029,5,0.488,-1.531,S5,0,6,51
I029,6,0.157,-1.547,S1,0,4,27
I029,7,0.63,-0.581,S2,0,6,22
I029,8,-0.197,-1.143,S3,0,4,43
I029,9,0.774,-0.913,S4,0,3,17
I029,10,-0.363,-0.435,S5,0,6,42
I029,11,-0.629,-0.748,S1,0,5,42
I029,12,-0.713,-0.894,S2,0,2,41
I029,13,-1.409,-1.015,S3,1,3,42
I029,14,-1.629,-1.526,S4,1,5,32
I029,15,-1.654,-1.247,S5,0,4,17
I029,16,-0.886,-1.07,S1,0,5,27
I029,17,-0.635,-1.368,S2,0,5,57
I029,18,-0.688,-2.672,S3,0,3,22
I029,19,-0.785,-2.566,S4,1,4,20
I029,20,-1.304,-1.85,S5,0,3,39
I029,21,0.139,-1.676,S1,0,2,19
I029,22,0.319,-0.41,S2,0,4,56
I029,23,0.582,-1.035,S3,1,3,52
I029,24,0.327,-1.529,S4,0,3,60
I029,25,0.273,-0.985,S5,0,4,56
I030,1,0.832,0.531,S2,1,3,25
I030,2,0.186,-0.54,S3,0,6,38
I030,3,-0.128,-0.201,S4,1,6,29
I030,4,0.011,-1.327,S5,0,1,54
I030,5,0.264,-0.669,S1,0,5,60
I030,6,0.19,-0.169,S2,1,6,26
I030,7,1.18,0.45,S3,0,6,17
I030,8,-0.708,0.283,S4,1,8,54
I030,9,-0.681,-0.249,S5,1,4,45
I030,10,-0.896,-0.073,S1,0,7,45
I030,11,0.378,-0.09,S2,0,7,25
I030,12,0.044,-0.013,S3,0,6,58
I030,13,-0.502,0.624,S4,1,8,35
I030,14,-0.773,0.898,S5,0,7,43
I030,15,0.357,0.621,S1,0,4,52
I030,16,0.691,0.095,S2,0,6,21
I030,17,1.469,0.395,S3,0,4,41
I030,18,0.627,0.194,S4,1,5,49
I030,19,-0.585,-0.859,S5,1,1,42
I030,20,-1.102,-1.039,S1,0,3,22
I030,21,-1.327,-0.809,S2,0,4,45
I030,22,-0.473,-0.425,S3,0,5,43
I030,23,-0.713,-0.143,S4,1,4,60
I030,24,-0.634,0.442,S5,0,6,60
I030,25,0.515,0.454,S1,1,5,46
